

============第 0个 PNU 的 MapInformation==============

 算子编号 时间步  算子种类 子节点0 子节点1 子节点2 子节点3 子节点4 子节点5  dif0    dif1    dif2    dif3    dif4    dif5   
    3       1       1       9       5       5       4       4       9      17       0       3       2       4       1       5       3   
    4       1       0       6      -1      -1      -1      -1      -1      -1       0      -1      -1      -1      -1      -1      -1   
    5       2       0       7      -1      -1      -1      -1      -1      -1       0      -1      -1      -1      -1      -1      -1   
    6       2       0       8      -1      -1      -1      -1      -1      -1       0      -1      -1      -1      -1      -1      -1   
    7       3       0       8      -1      -1      -1      -1      -1      -1       0      -1      -1      -1      -1      -1      -1   
    8       5       0      13      -1      -1      -1      -1      -1      -1       0      -1      -1      -1      -1      -1      -1   
    9       5       0      11      -1      -1      -1      -1      -1      -1       0      -1      -1      -1      -1      -1      -1   
   10       5       1      15      -1      -1      -1      -1      -1      -1       0      -1      -1      -1      -1      -1      -1   
   11       6       0      13      -1      -1      -1      -1      -1      -1       0      -1      -1      -1      -1      -1      -1   
   12       6       1      16      -1      -1      -1      -1      -1      -1       0      -1      -1      -1      -1      -1      -1   
   13       7       0      14      -1      -1      -1      -1      -1      -1       0      -1      -1      -1      -1      -1      -1   
   14       8       0      15      -1      -1      -1      -1      -1      -1       0      -1      -1      -1      -1      -1      -1   
   15       9       0      22      18      18      -1      -1      -1      -1       0       0       1      -1      -1      -1      -1   
   16       9       0      17      -1      -1      -1      -1      -1      -1       0      -1      -1      -1      -1      -1      -1   
   17      10       0      20      -1      -1      -1      -1      -1      -1       0      -1      -1      -1      -1      -1      -1   
   18      10       0      20      -1      -1      -1      -1      -1      -1       0      -1      -1      -1      -1      -1      -1   
   19      10       0      21      -1      -1      -1      -1      -1      -1       0      -1      -1      -1      -1      -1      -1   
   20      11       0      21      -1      -1      -1      -1      -1      -1       0      -1      -1      -1      -1      -1      -1   
   21      12       0      23      -1      -1      -1      -1      -1      -1       0      -1      -1      -1      -1      -1      -1   
   22      13       1      -1      -1      -1      -1      -1      -1      -1      -1      -1      -1      -1      -1      -1      -1   
   23      13       1      -1      -1      -1      -1      -1      -1      -1      -1      -1      -1      -1      -1      -1      -1   


============第 2个 PNU 的 MapInformation==============

 算子编号 时间步  算子种类 子节点0 子节点1 子节点2 子节点3 子节点4 子节点5 子节点6  dif0    dif1    dif2    dif3    dif4    dif5    dif6   
    0       0       1      16      -1      -1      -1      -1      -1      -1       0      -1      -1      -1      -1      -1      -1   
    1       0       1      19      -1      -1      -1      -1      -1      -1       0      -1      -1      -1      -1      -1      -1   
    2       0       1      19      -1      -1      -1      -1      -1      -1       0      -1      -1      -1      -1      -1      -1   
    3       1       1       7       5       5       4       4       7      17       0       3       2       4       1       5       3   
    4       1       0       6      -1      -1      -1      -1      -1      -1       0      -1      -1      -1      -1      -1      -1   
    5       2       0       8      -1      -1      -1      -1      -1      -1       0      -1      -1      -1      -1      -1      -1   
    6       2       0      10      -1      -1      -1      -1      -1      -1       0      -1      -1      -1      -1      -1      -1   
    7       3       0       9      -1      -1      -1      -1      -1      -1       0      -1      -1      -1      -1      -1      -1   
    8       3       0      10      -1      -1      -1      -1      -1      -1       0      -1      -1      -1      -1      -1      -1   
    9       4       0      12      -1      -1      -1      -1      -1      -1       0      -1      -1      -1      -1      -1      -1   
   10       4       0      12      -1      -1      -1      -1      -1      -1       0      -1      -1      -1      -1      -1      -1   
   11       5       1      15      -1      -1      -1      -1      -1      -1       0      -1      -1      -1      -1      -1      -1   
   12       5       0      13      -1      -1      -1      -1      -1      -1       0      -1      -1      -1      -1      -1      -1   
   13       6       0      15      -1      -1      -1      -1      -1      -1       0      -1      -1      -1      -1      -1      -1   
   14       6       1      16      -1      -1      -1      -1      -1      -1       0      -1      -1      -1      -1      -1      -1   
   15       9       0      22      18      18      -1      -1      -1      -1       0       0       1      -1      -1      -1      -1   
   16       9       0      17      -1      -1      -1      -1      -1      -1       0      -1      -1      -1      -1      -1      -1   
   17      10       0      20      -1      -1      -1      -1      -1      -1       0      -1      -1      -1      -1      -1      -1   
   18      10       0      20      -1      -1      -1      -1      -1      -1       0      -1      -1      -1      -1      -1      -1   
   19      10       0      21      -1      -1      -1      -1      -1      -1       0      -1      -1      -1      -1      -1      -1   
   20      11       0      21      -1      -1      -1      -1      -1      -1       0      -1      -1      -1      -1      -1      -1   
   21      12       0      23      -1      -1      -1      -1      -1      -1       0      -1      -1      -1      -1      -1      -1   
   22      13       1      -1      -1      -1      -1      -1      -1      -1      -1      -1      -1      -1      -1      -1      -1   
   23      13       1      -1      -1      -1      -1      -1      -1      -1      -1      -1      -1      -1      -1      -1      -1   


============第 2个 PNU 的 MapInformation==============

 算子编号 时间步  算子种类 子节点0 子节点1 子节点2 子节点3 子节点4 子节点5 子节点6  dif0    dif1    dif2    dif3    dif4    dif5    dif6   
    0       0       1      16      -1      -1      -1      -1      -1      -1       0      -1      -1      -1      -1      -1      -1   
    1       0       1      16      -1      -1      -1      -1      -1      -1       0      -1      -1      -1      -1      -1      -1   
    2       0       1      19      -1      -1      -1      -1      -1      -1       0      -1      -1      -1      -1      -1      -1   
    3       0       1      19      -1      -1      -1      -1      -1      -1       0      -1      -1      -1      -1      -1      -1   
    4       1       0       6      -1      -1      -1      -1      -1      -1       0      -1      -1      -1      -1      -1      -1   
    5       1       1       9       7       7       4       4       9      17       0       3       2       4       1       5       3   
    6       2       0      11      -1      -1      -1      -1      -1      -1       0      -1      -1      -1      -1      -1      -1   
    7       2       0       8      -1      -1      -1      -1      -1      -1       0      -1      -1      -1      -1      -1      -1   
    8       3       0      11      -1      -1      -1      -1      -1      -1       0      -1      -1      -1      -1      -1      -1   
    9       5       0      12      -1      -1      -1      -1      -1      -1       0      -1      -1      -1      -1      -1      -1   
   10       5       1      15      -1      -1      -1      -1      -1      -1       0      -1      -1      -1      -1      -1      -1   
   11       5       0      13      -1      -1      -1      -1      -1      -1       0      -1      -1      -1      -1      -1      -1   
   12       6       0      13      -1      -1      -1      -1      -1      -1       0      -1      -1      -1      -1      -1      -1   
   13       7       0      14      -1      -1      -1      -1      -1      -1       0      -1      -1      -1      -1      -1      -1   
   14       8       0      15      -1      -1      -1      -1      -1      -1       0      -1      -1      -1      -1      -1      -1   
   15       9       0      22      18      18      -1      -1      -1      -1       0       0       1      -1      -1      -1      -1   
   16       9       0      17      -1      -1      -1      -1      -1      -1       0      -1      -1      -1      -1      -1      -1   
   17      10       0      20      -1      -1      -1      -1      -1      -1       0      -1      -1      -1      -1      -1      -1   
   18      10       0      20      -1      -1      -1      -1      -1      -1       0      -1      -1      -1      -1      -1      -1   
   19      10       0      21      -1      -1      -1      -1      -1      -1       0      -1      -1      -1      -1      -1      -1   
   20      11       0      21      -1      -1      -1      -1      -1      -1       0      -1      -1      -1      -1      -1      -1   
   21      12       0      23      -1      -1      -1      -1      -1      -1       0      -1      -1      -1      -1      -1      -1   
   22      13       1      -1      -1      -1      -1      -1      -1      -1      -1      -1      -1      -1      -1      -1      -1   
   23      13       1      -1      -1      -1      -1      -1      -1      -1      -1      -1      -1      -1      -1      -1      -1   


============第 2个 PNU 的 MapInformation==============

 算子编号 时间步  算子种类 子节点0 子节点1 子节点2 子节点3 子节点4 子节点5 子节点6  dif0    dif1    dif2    dif3    dif4    dif5    dif6   
    0       0       1      16      -1      -1      -1      -1      -1      -1       0      -1      -1      -1      -1      -1      -1   
    1       0       1      19      -1      -1      -1      -1      -1      -1       0      -1      -1      -1      -1      -1      -1   
    2       0       1      19      -1      -1      -1      -1      -1      -1       0      -1      -1      -1      -1      -1      -1   
    3       1       1       7       5       5       4       4       7      17       0       3       2       4       1       5       3   
    4       1       0       6      -1      -1      -1      -1      -1      -1       0      -1      -1      -1      -1      -1      -1   
    5       2       0       8      -1      -1      -1      -1      -1      -1       0      -1      -1      -1      -1      -1      -1   
    6       2       0      10      -1      -1      -1      -1      -1      -1       0      -1      -1      -1      -1      -1      -1   
    7       3       0       9      -1      -1      -1      -1      -1      -1       0      -1      -1      -1      -1      -1      -1   
    8       3       0      10      -1      -1      -1      -1      -1      -1       0      -1      -1      -1      -1      -1      -1   
    9       4       0      12      -1      -1      -1      -1      -1      -1       0      -1      -1      -1      -1      -1      -1   
   10       4       0      12      -1      -1      -1      -1      -1      -1       0      -1      -1      -1      -1      -1      -1   
   11       5       1      15      -1      -1      -1      -1      -1      -1       0      -1      -1      -1      -1      -1      -1   
   12       5       0      13      -1      -1      -1      -1      -1      -1       0      -1      -1      -1      -1      -1      -1   
   13       6       0      15      -1      -1      -1      -1      -1      -1       0      -1      -1      -1      -1      -1      -1   
   14       6       1      16      -1      -1      -1      -1      -1      -1       0      -1      -1      -1      -1      -1      -1   
   15       7       0      22      18      18      -1      -1      -1      -1       0       0       1      -1      -1      -1      -1   
   16       9       0      17      -1      -1      -1      -1      -1      -1       0      -1      -1      -1      -1      -1      -1   
   17      10       0      20      -1      -1      -1      -1      -1      -1       0      -1      -1      -1      -1      -1      -1   
   18      10       0      20      -1      -1      -1      -1      -1      -1       0      -1      -1      -1      -1      -1      -1   
   19      10       0      21      -1      -1      -1      -1      -1      -1       0      -1      -1      -1      -1      -1      -1   
   20      11       0      21      -1      -1      -1      -1      -1      -1       0      -1      -1      -1      -1      -1      -1   
   21      12       0      23      -1      -1      -1      -1      -1      -1       0      -1      -1      -1      -1      -1      -1   
   22      13       1      -1      -1      -1      -1      -1      -1      -1      -1      -1      -1      -1      -1      -1      -1   
   23      13       1      -1      -1      -1      -1      -1      -1      -1      -1      -1      -1      -1      -1      -1      -1   


============第 2个 PNU 的 MapInformation==============

 算子编号 时间步  算子种类 子节点0 子节点1 子节点2 子节点3 子节点4 子节点5 子节点6  dif0    dif1    dif2    dif3    dif4    dif5    dif6   
    0       0       1      16      -1      -1      -1      -1      -1      -1       0      -1      -1      -1      -1      -1      -1   
    1       0       1      19      -1      -1      -1      -1      -1      -1       0      -1      -1      -1      -1      -1      -1   
    2       0       1      19      -1      -1      -1      -1      -1      -1       0      -1      -1      -1      -1      -1      -1   
    3       1       1      10       5       5       4       4      10      17       0       3       2       4       1       5       3   
    4       1       0       6      -1      -1      -1      -1      -1      -1       0      -1      -1      -1      -1      -1      -1   
    5       2       0       7      -1      -1      -1      -1      -1      -1       0      -1      -1      -1      -1      -1      -1   
    6       2       0       8      -1      -1      -1      -1      -1      -1       0      -1      -1      -1      -1      -1      -1   
    7       3       0       8      -1      -1      -1      -1      -1      -1       0      -1      -1      -1      -1      -1      -1   
    8       4       0      13      -1      -1      -1      -1      -1      -1       0      -1      -1      -1      -1      -1      -1   
    9       5       1      15      -1      -1      -1      -1      -1      -1       0      -1      -1      -1      -1      -1      -1   
   10       5       0      11      -1      -1      -1      -1      -1      -1       0      -1      -1      -1      -1      -1      -1   
   11       6       0      13      -1      -1      -1      -1      -1      -1       0      -1      -1      -1      -1      -1      -1   
   12       6       1      16      -1      -1      -1      -1      -1      -1       0      -1      -1      -1      -1      -1      -1   
   13       7       0      14      -1      -1      -1      -1      -1      -1       0      -1      -1      -1      -1      -1      -1   
   14       8       0      15      -1      -1      -1      -1      -1      -1       0      -1      -1      -1      -1      -1      -1   
   15       9       0      22      18      18      -1      -1      -1      -1       0       0       1      -1      -1      -1      -1   
   16       9       0      17      -1      -1      -1      -1      -1      -1       0      -1      -1      -1      -1      -1      -1   
   17      10       0      20      -1      -1      -1      -1      -1      -1       0      -1      -1      -1      -1      -1      -1   
   18      10       0      20      -1      -1      -1      -1      -1      -1       0      -1      -1      -1      -1      -1      -1   
   19      10       0      21      -1      -1      -1      -1      -1      -1       0      -1      -1      -1      -1      -1      -1   
   20      11       0      21      -1      -1      -1      -1      -1      -1       0      -1      -1      -1      -1      -1      -1   
   21      12       0      23      -1      -1      -1      -1      -1      -1       0      -1      -1      -1      -1      -1      -1   
   22      13       1      -1      -1      -1      -1      -1      -1      -1      -1      -1      -1      -1      -1      -1      -1   
   23      13       1      -1      -1      -1      -1      -1      -1      -1      -1      -1      -1      -1      -1      -1      -1   


============第 2个 PNU 的 MapInformation==============

 算子编号 时间步  算子种类 子节点0 子节点1 子节点2 子节点3 子节点4 子节点5 子节点6  dif0    dif1    dif2    dif3    dif4    dif5    dif6   
    0       0       1      16      -1      -1      -1      -1      -1      -1       0      -1      -1      -1      -1      -1      -1   
    1       0       1      19      -1      -1      -1      -1      -1      -1       0      -1      -1      -1      -1      -1      -1   
    2       0       1      19      -1      -1      -1      -1      -1      -1       0      -1      -1      -1      -1      -1      -1   
    3       1       1       8       5       5       4       4       8      17       0       3       2       4       1       5       3   
    4       1       0       6      -1      -1      -1      -1      -1      -1       0      -1      -1      -1      -1      -1      -1   
    5       2       0       7      -1      -1      -1      -1      -1      -1       0      -1      -1      -1      -1      -1      -1   
    6       2       0       9      -1      -1      -1      -1      -1      -1       0      -1      -1      -1      -1      -1      -1   
    7       3       0       9      -1      -1      -1      -1      -1      -1       0      -1      -1      -1      -1      -1      -1   
    8       4       0      10      -1      -1      -1      -1      -1      -1       0      -1      -1      -1      -1      -1      -1   
    9       5       0      12      -1      -1      -1      -1      -1      -1       0      -1      -1      -1      -1      -1      -1   
   10       5       0      12      -1      -1      -1      -1      -1      -1       0      -1      -1      -1      -1      -1      -1   
   11       5       1      15      -1      -1      -1      -1      -1      -1       0      -1      -1      -1      -1      -1      -1   
   12       6       0      14      -1      -1      -1      -1      -1      -1       0      -1      -1      -1      -1      -1      -1   
   13       6       1      16      -1      -1      -1      -1      -1      -1       0      -1      -1      -1      -1      -1      -1   
   14       8       0      15      -1      -1      -1      -1      -1      -1       0      -1      -1      -1      -1      -1      -1   
   15       9       0      22      18      18      -1      -1      -1      -1       0       0       1      -1      -1      -1      -1   
   16       9       0      17      -1      -1      -1      -1      -1      -1       0      -1      -1      -1      -1      -1      -1   
   17      10       0      20      -1      -1      -1      -1      -1      -1       0      -1      -1      -1      -1      -1      -1   
   18      10       0      20      -1      -1      -1      -1      -1      -1       0      -1      -1      -1      -1      -1      -1   
   19      10       0      21      -1      -1      -1      -1      -1      -1       0      -1      -1      -1      -1      -1      -1   
   20      11       0      21      -1      -1      -1      -1      -1      -1       0      -1      -1      -1      -1      -1      -1   
   21      12       0      23      -1      -1      -1      -1      -1      -1       0      -1      -1      -1      -1      -1      -1   
   22      13       1      -1      -1      -1      -1      -1      -1      -1      -1      -1      -1      -1      -1      -1      -1   
   23      13       1      -1      -1      -1      -1      -1      -1      -1      -1      -1      -1      -1      -1      -1      -1   


============第 2个 PNU 的 MapInformation==============

 算子编号 时间步  算子种类 子节点0 子节点1 子节点2 子节点3 子节点4 子节点5 子节点6  dif0    dif1    dif2    dif3    dif4    dif5    dif6   
    0       0       1      17      -1      -1      -1      -1      -1      -1       0      -1      -1      -1      -1      -1      -1   
    1       0       1       9      -1      -1      -1      -1      -1      -1       0      -1      -1      -1      -1      -1      -1   
    2       0       1       9      -1      -1      -1      -1      -1      -1       0      -1      -1      -1      -1      -1      -1   
    3       1       1       7       5       5       4       4       7      19       0       3       2       4       1       5       3   
    4       1       0       6      -1      -1      -1      -1      -1      -1       0      -1      -1      -1      -1      -1      -1   
    5       2       0       8      -1      -1      -1      -1      -1      -1       0      -1      -1      -1      -1      -1      -1   
    6       2       0      10      -1      -1      -1      -1      -1      -1       0      -1      -1      -1      -1      -1      -1   
    7       3       0      11      -1      -1      -1      -1      -1      -1       0      -1      -1      -1      -1      -1      -1   
    8       3       0      10      -1      -1      -1      -1      -1      -1       0      -1      -1      -1      -1      -1      -1   
    9       3       0      21      -1      -1      -1      -1      -1      -1       0      -1      -1      -1      -1      -1      -1   
   10       4       0      12      -1      -1      -1      -1      -1      -1       0      -1      -1      -1      -1      -1      -1   
   11       4       0      12      -1      -1      -1      -1      -1      -1       0      -1      -1      -1      -1      -1      -1   
   12       5       0      15      -1      -1      -1      -1      -1      -1       0      -1      -1      -1      -1      -1      -1   
   13       5       1      16      -1      -1      -1      -1      -1      -1       0      -1      -1      -1      -1      -1      -1   
   14       6       1      17      -1      -1      -1      -1      -1      -1       0      -1      -1      -1      -1      -1      -1   
   15       6       0      16      -1      -1      -1      -1      -1      -1       0      -1      -1      -1      -1      -1      -1   
   16       7       0      22      18      18      -1      -1      -1      -1       0       0       1      -1      -1      -1      -1   
   17       9       0      19      -1      -1      -1      -1      -1      -1       0      -1      -1      -1      -1      -1      -1   
   18      10       0      20      -1      -1      -1      -1      -1      -1       0      -1      -1      -1      -1      -1      -1   
   19      10       0      20      -1      -1      -1      -1      -1      -1       0      -1      -1      -1      -1      -1      -1   
   20      11       0      21      -1      -1      -1      -1      -1      -1       0      -1      -1      -1      -1      -1      -1   
   21      12       0      23      -1      -1      -1      -1      -1      -1       0      -1      -1      -1      -1      -1      -1   
   22      13       1      -1      -1      -1      -1      -1      -1      -1      -1      -1      -1      -1      -1      -1      -1   
   23      13       1      -1      -1      -1      -1      -1      -1      -1      -1      -1      -1      -1      -1      -1      -1   


============第 2个 PNU 的 MapInformation==============

 算子编号 时间步  算子种类 子节点0 子节点1 子节点2 子节点3 子节点4 子节点5 子节点6  dif0    dif1    dif2    dif3    dif4    dif5    dif6   
    0       0       1      16      -1      -1      -1      -1      -1      -1       0      -1      -1      -1      -1      -1      -1   
    1       0       1      19      -1      -1      -1      -1      -1      -1       0      -1      -1      -1      -1      -1      -1   
    2       0       1      19      -1      -1      -1      -1      -1      -1       0      -1      -1      -1      -1      -1      -1   
    3       1       0       6      -1      -1      -1      -1      -1      -1       0      -1      -1      -1      -1      -1      -1   
    4       1       1      10       7       7       3       3      10      17       0       3       2       4       1       5       3   
    5       1       1      15      -1      -1      -1      -1      -1      -1       0      -1      -1      -1      -1      -1      -1   
    6       2       0       9      -1      -1      -1      -1      -1      -1       0      -1      -1      -1      -1      -1      -1   
    7       2       0       8      -1      -1      -1      -1      -1      -1       0      -1      -1      -1      -1      -1      -1   
    8       3       0       9      -1      -1      -1      -1      -1      -1       0      -1      -1      -1      -1      -1      -1   
    9       5       0      13      -1      -1      -1      -1      -1      -1       0      -1      -1      -1      -1      -1      -1   
   10       5       0      11      -1      -1      -1      -1      -1      -1       0      -1      -1      -1      -1      -1      -1   
   11       6       0      13      -1      -1      -1      -1      -1      -1       0      -1      -1      -1      -1      -1      -1   
   12       6       1      16      -1      -1      -1      -1      -1      -1       0      -1      -1      -1      -1      -1      -1   
   13       7       0      14      -1      -1      -1      -1      -1      -1       0      -1      -1      -1      -1      -1      -1   
   14       8       0      15      -1      -1      -1      -1      -1      -1       0      -1      -1      -1      -1      -1      -1   
   15       9       0      22      18      18      -1      -1      -1      -1       0       0       1      -1      -1      -1      -1   
   16       9       0      17      -1      -1      -1      -1      -1      -1       0      -1      -1      -1      -1      -1      -1   
   17      10       0      20      -1      -1      -1      -1      -1      -1       0      -1      -1      -1      -1      -1      -1   
   18      10       0      20      -1      -1      -1      -1      -1      -1       0      -1      -1      -1      -1      -1      -1   
   19      10       0      21      -1      -1      -1      -1      -1      -1       0      -1      -1      -1      -1      -1      -1   
   20      11       0      21      -1      -1      -1      -1      -1      -1       0      -1      -1      -1      -1      -1      -1   
   21      12       0      23      -1      -1      -1      -1      -1      -1       0      -1      -1      -1      -1      -1      -1   
   22      13       1      -1      -1      -1      -1      -1      -1      -1      -1      -1      -1      -1      -1      -1      -1   
   23      13       1      -1      -1      -1      -1      -1      -1      -1      -1      -1      -1      -1      -1      -1      -1   


============第 2个 PNU 的 MapInformation==============

 算子编号 时间步  算子种类 子节点0 子节点1 子节点2 子节点3 子节点4 子节点5 子节点6  dif0    dif1    dif2    dif3    dif4    dif5    dif6   
    0       0       1       9       7       7       4       4       9      17       0       3       2       4       1       5       3   
    1       0       1      16      -1      -1      -1      -1      -1      -1       0      -1      -1      -1      -1      -1      -1   
    2       0       1      19      -1      -1      -1      -1      -1      -1       0      -1      -1      -1      -1      -1      -1   
    3       0       1      19      -1      -1      -1      -1      -1      -1       0      -1      -1      -1      -1      -1      -1   
    4       1       0       6      -1      -1      -1      -1      -1      -1       0      -1      -1      -1      -1      -1      -1   
    5       1       1      16      -1      -1      -1      -1      -1      -1       0      -1      -1      -1      -1      -1      -1   
    6       2       0      11      -1      -1      -1      -1      -1      -1       0      -1      -1      -1      -1      -1      -1   
    7       2       0       8      -1      -1      -1      -1      -1      -1       0      -1      -1      -1      -1      -1      -1   
    8       3       0      11      -1      -1      -1      -1      -1      -1       0      -1      -1      -1      -1      -1      -1   
    9       5       0      12      -1      -1      -1      -1      -1      -1       0      -1      -1      -1      -1      -1      -1   
   10       5       1      15      -1      -1      -1      -1      -1      -1       0      -1      -1      -1      -1      -1      -1   
   11       5       0      13      -1      -1      -1      -1      -1      -1       0      -1      -1      -1      -1      -1      -1   
   12       6       0      13      -1      -1      -1      -1      -1      -1       0      -1      -1      -1      -1      -1      -1   
   13       7       0      14      -1      -1      -1      -1      -1      -1       0      -1      -1      -1      -1      -1      -1   
   14       8       0      15      -1      -1      -1      -1      -1      -1       0      -1      -1      -1      -1      -1      -1   
   15       9       0      22      18      18      -1      -1      -1      -1       0       0       1      -1      -1      -1      -1   
   16       9       0      17      -1      -1      -1      -1      -1      -1       0      -1      -1      -1      -1      -1      -1   
   17      10       0      20      -1      -1      -1      -1      -1      -1       0      -1      -1      -1      -1      -1      -1   
   18      10       0      20      -1      -1      -1      -1      -1      -1       0      -1      -1      -1      -1      -1      -1   
   19      10       0      21      -1      -1      -1      -1      -1      -1       0      -1      -1      -1      -1      -1      -1   
   20      11       0      21      -1      -1      -1      -1      -1      -1       0      -1      -1      -1      -1      -1      -1   
   21      12       0      23      -1      -1      -1      -1      -1      -1       0      -1      -1      -1      -1      -1      -1   
   22      13       1      -1      -1      -1      -1      -1      -1      -1      -1      -1      -1      -1      -1      -1      -1   
   23      13       1      -1      -1      -1      -1      -1      -1      -1      -1      -1      -1      -1      -1      -1      -1   


============第 2个 PNU 的 MapInformation==============

 算子编号 时间步  算子种类 子节点0 子节点1 子节点2 子节点3 子节点4 子节点5 子节点6  dif0    dif1    dif2    dif3    dif4    dif5    dif6   
    0       0       1      10       7       7       4       4      10      17       0       3       2       4       1       5       3   
    1       0       1      16      -1      -1      -1      -1      -1      -1       0      -1      -1      -1      -1      -1      -1   
    2       0       1      19      -1      -1      -1      -1      -1      -1       0      -1      -1      -1      -1      -1      -1   
    3       0       1      19      -1      -1      -1      -1      -1      -1       0      -1      -1      -1      -1      -1      -1   
    4       1       0       6      -1      -1      -1      -1      -1      -1       0      -1      -1      -1      -1      -1      -1   
    5       1       1      16      -1      -1      -1      -1      -1      -1       0      -1      -1      -1      -1      -1      -1   
    6       2       0       9      -1      -1      -1      -1      -1      -1       0      -1      -1      -1      -1      -1      -1   
    7       2       0       8      -1      -1      -1      -1      -1      -1       0      -1      -1      -1      -1      -1      -1   
    8       3       0       9      -1      -1      -1      -1      -1      -1       0      -1      -1      -1      -1      -1      -1   
    9       4       0      13      -1      -1      -1      -1      -1      -1       0      -1      -1      -1      -1      -1      -1   
   10       5       0      12      -1      -1      -1      -1      -1      -1       0      -1      -1      -1      -1      -1      -1   
   11       5       1      15      -1      -1      -1      -1      -1      -1       0      -1      -1      -1      -1      -1      -1   
   12       6       0      13      -1      -1      -1      -1      -1      -1       0      -1      -1      -1      -1      -1      -1   
   13       7       0      14      -1      -1      -1      -1      -1      -1       0      -1      -1      -1      -1      -1      -1   
   14       8       0      15      -1      -1      -1      -1      -1      -1       0      -1      -1      -1      -1      -1      -1   
   15       9       0      22      18      18      -1      -1      -1      -1       0       0       1      -1      -1      -1      -1   
   16       9       0      17      -1      -1      -1      -1      -1      -1       0      -1      -1      -1      -1      -1      -1   
   17      10       0      20      -1      -1      -1      -1      -1      -1       0      -1      -1      -1      -1      -1      -1   
   18      10       0      20      -1      -1      -1      -1      -1      -1       0      -1      -1      -1      -1      -1      -1   
   19      10       0      21      -1      -1      -1      -1      -1      -1       0      -1      -1      -1      -1      -1      -1   
   20      11       0      21      -1      -1      -1      -1      -1      -1       0      -1      -1      -1      -1      -1      -1   
   21      12       0      23      -1      -1      -1      -1      -1      -1       0      -1      -1      -1      -1      -1      -1   
   22      13       1      -1      -1      -1      -1      -1      -1      -1      -1      -1      -1      -1      -1      -1      -1   
   23      13       1      -1      -1      -1      -1      -1      -1      -1      -1      -1      -1      -1      -1      -1      -1   


============第 2个 PNU 的 MapInformation==============

 算子编号 时间步  算子种类 子节点0 子节点1 子节点2 子节点3 子节点4 子节点5 子节点6  dif0    dif1    dif2    dif3    dif4    dif5    dif6   
    0       0       1      16      -1      -1      -1      -1      -1      -1       0      -1      -1      -1      -1      -1      -1   
    1       0       1      19      -1      -1      -1      -1      -1      -1       0      -1      -1      -1      -1      -1      -1   
    2       0       1      19      -1      -1      -1      -1      -1      -1       0      -1      -1      -1      -1      -1      -1   
    3       1       1       7       6       6       4       4       7      17       0       3       2       4       1       5       3   
    4       1       0       5      -1      -1      -1      -1      -1      -1       0      -1      -1      -1      -1      -1      -1   
    5       2       0      10      -1      -1      -1      -1      -1      -1       0      -1      -1      -1      -1      -1      -1   
    6       2       0       9      -1      -1      -1      -1      -1      -1       0      -1      -1      -1      -1      -1      -1   
    7       2       0       8      -1      -1      -1      -1      -1      -1       0      -1      -1      -1      -1      -1      -1   
    8       3       0      12      -1      -1      -1      -1      -1      -1       0      -1      -1      -1      -1      -1      -1   
    9       3       0      10      -1      -1      -1      -1      -1      -1       0      -1      -1      -1      -1      -1      -1   
   10       4       0      12      -1      -1      -1      -1      -1      -1       0      -1      -1      -1      -1      -1      -1   
   11       5       1      15      -1      -1      -1      -1      -1      -1       0      -1      -1      -1      -1      -1      -1   
   12       5       0      13      -1      -1      -1      -1      -1      -1       0      -1      -1      -1      -1      -1      -1   
   13       6       0      15      -1      -1      -1      -1      -1      -1       0      -1      -1      -1      -1      -1      -1   
   14       6       1      16      -1      -1      -1      -1      -1      -1       0      -1      -1      -1      -1      -1      -1   
   15       7       0      22      18      18      -1      -1      -1      -1       0       0       1      -1      -1      -1      -1   
   16       9       0      17      -1      -1      -1      -1      -1      -1       0      -1      -1      -1      -1      -1      -1   
   17      10       0      20      -1      -1      -1      -1      -1      -1       0      -1      -1      -1      -1      -1      -1   
   18      10       0      20      -1      -1      -1      -1      -1      -1       0      -1      -1      -1      -1      -1      -1   
   19      10       0      21      -1      -1      -1      -1      -1      -1       0      -1      -1      -1      -1      -1      -1   
   20      11       0      21      -1      -1      -1      -1      -1      -1       0      -1      -1      -1      -1      -1      -1   
   21      12       0      23      -1      -1      -1      -1      -1      -1       0      -1      -1      -1      -1      -1      -1   
   22      13       1      -1      -1      -1      -1      -1      -1      -1      -1      -1      -1      -1      -1      -1      -1   
   23      13       1      -1      -1      -1      -1      -1      -1      -1      -1      -1      -1      -1      -1      -1      -1   


============第 2个 PNU 的 MapInformation==============

 算子编号 时间步  算子种类 子节点0 子节点1 子节点2 子节点3 子节点4 子节点5 子节点6  dif0    dif1    dif2    dif3    dif4    dif5    dif6   
    0       0       1      16      -1      -1      -1      -1      -1      -1       0      -1      -1      -1      -1      -1      -1   
    1       0       1       9      -1      -1      -1      -1      -1      -1       0      -1      -1      -1      -1      -1      -1   
    2       0       1       9      -1      -1      -1      -1      -1      -1       0      -1      -1      -1      -1      -1      -1   
    3       1       1       7       5       5       4       4       7      19       0       3       2       4       1       5       3   
    4       1       0       6      -1      -1      -1      -1      -1      -1       0      -1      -1      -1      -1      -1      -1   
    5       2       0       8      -1      -1      -1      -1      -1      -1       0      -1      -1      -1      -1      -1      -1   
    6       2       0      10      -1      -1      -1      -1      -1      -1       0      -1      -1      -1      -1      -1      -1   
    7       3       0      11      -1      -1      -1      -1      -1      -1       0      -1      -1      -1      -1      -1      -1   
